Code,Indicator Name,Long definition,Source
UIS.NERA.2,"Adjusted net enrolment rate, lower secondary, both sexes (%)","Total number of students of the official lower secondary school age group who are enrolled in lower secondary education or higher, expressed as a percentage of the corresponding population. Divide the total number of students in the official lower secondary school age range who are enrolled in lower secondary education or higher by the population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official school participation age group for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics
UIS.NERA.2.F,"Adjusted net enrolment rate, lower secondary, female (%)","Total number of female students of the official lower secondary school age group who are enrolled in lower secondary education or higher, expressed as a percentage of the corresponding female population. Divide the total number of female students in the official lower secondary school age range who are enrolled in lower secondary education or higher by the female population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official school participation age group for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics
UIS.NERA.2.GPI,"Adjusted net enrolment rate, lower secondary, gender parity index (GPI)","Ratio of female adjusted net enrolment rate for lower secondary to the male adjusted net enrolment rate for lower secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics
UIS.NERA.2.M,"Adjusted net enrolment rate, lower secondary, male (%)","Total number of male students of the official lower secondary school age group who are enrolled in lower secondary education or higher, expressed as a percentage of the corresponding male population. Divide the total number of male students in the official lower secondary school age range who are enrolled in lower secondary education or higher by the male population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official school participation age group for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics
SE.PRM.TENR,"Adjusted net enrolment rate, primary, both sexes (%)","Total number of students of the official primary school age group who are enrolled at primary or secondary education, expressed as a percentage of the corresponding population. Divide the total number of students in the official primary school age range who are enrolled in primary or secondary education by the population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official primary school participation age group in primary and secondary education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes (pre-primary education must be excluded). NERA gives more precise measure of the participation of the official primary school age population to the education system (excluding pre-primary education). It reflects the actual level of achievement of the Universal Primary Education (UPE) goal. In fact, while the Net enrolment rate (NER) shows the coverage of pupils in the official primary school age group in the primary education level only, the NERA extends the measure to those of the official primary school age range who have reached secondary education because they might access primary education earlier than the official entrance or they might skip some grades due to their performance. Increasing NERA might mirror improving participation of children in the official primary school age, the decrease of the target population or both. A value of 100% indicates theoretically that the country has accomplished the UPE goal. However, this condition is not sufficient for UPE due to, for example, a high repetition rate, which might lead pupils to dropout after primary school age without completing primary education. The difference between NERA and NER provides a measure of the proportion of children in the official primary age group who are enrolled in secondary education.",UNESCO Institute for Statistics
SE.PRM.TENR.FE,"Adjusted net enrolment rate, primary, female (%)","Total number of female students of the official primary school age group who are enrolled at primary or secondary education, expressed as a percentage of the corresponding female population. Divide the total number of female students in the official primary school age range who are enrolled in primary or secondary education by the female population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official primary school participation age group in primary and secondary education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes (pre-primary education must be excluded). NERA gives more precise measure of the participation of the official primary school age population to the education system (excluding pre-primary education). It reflects the actual level of achievement of the Universal Primary Education (UPE) goal. In fact, while the Net enrolment rate (NER) shows the coverage of pupils in the official primary school age group in the primary education level only, the NERA extends the measure to those of the official primary school age range who have reached secondary education because they might access primary education earlier than the official entrance or they might skip some grades due to their performance. Increasing NERA might mirror improving participation of children in the official primary school age, the decrease of the target population or both. A value of 100% indicates theoretically that the country has accomplished the UPE goal. However, this condition is not sufficient for UPE due to, for example, a high repetition rate, which might lead pupils to dropout after primary school age without completing primary education. The difference between NERA and NER provides a measure of the proportion of children in the official primary age group who are enrolled in secondary education.",UNESCO Institute for Statistics
UIS.NERA.1.GPI,"Adjusted net enrolment rate, primary, gender parity index (GPI)","Ratio of female adjusted net enrolment rate for primary to the male adjusted net enrolment rate for primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics
SE.PRM.TENR.MA,"Adjusted net enrolment rate, primary, male (%)","Total number of male students of the official primary school age group who are enrolled at primary or secondary education, expressed as a percentage of the corresponding male population. Divide the total number of male students in the official primary school age range who are enrolled in primary or secondary education by the male population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official primary school participation age group in primary and secondary education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes (pre-primary education must be excluded). NERA gives more precise measure of the participation of the official primary school age population to the education system (excluding pre-primary education). It reflects the actual level of achievement of the Universal Primary Education (UPE) goal. In fact, while the Net enrolment rate (NER) shows the coverage of pupils in the official primary school age group in the primary education level only, the NERA extends the measure to those of the official primary school age range who have reached secondary education because they might access primary education earlier than the official entrance or they might skip some grades due to their performance. Increasing NERA might mirror improving participation of children in the official primary school age, the decrease of the target population or both. A value of 100% indicates theoretically that the country has accomplished the UPE goal. However, this condition is not sufficient for UPE due to, for example, a high repetition rate, which might lead pupils to dropout after primary school age without completing primary education. The difference between NERA and NER provides a measure of the proportion of children in the official primary age group who are enrolled in secondary education.",UNESCO Institute for Statistics
UIS.NERA.3,"Adjusted net enrolment rate, upper secondary, both sexes (%)","Total number of students of the official upper secondary school age group who are enrolled in upper secondary education or higher, expressed as a percentage of the corresponding population. Divide the total number of students in the official upper secondary school age range who are enrolled in upper secondary education or higher by the population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official school participation age group for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics
UIS.NERA.3.F,"Adjusted net enrolment rate, upper secondary, female (%)","Total number of female students of the official upper secondary school age group who are enrolled in upper secondary education or higher, expressed as a percentage of the corresponding female population. Divide the total number of female students in the official upper secondary school age range who are enrolled in upper secondary education or higher by the female population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official school participation age group for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics
UIS.NERA.3.GPI,"Adjusted net enrolment rate, upper secondary, gender parity index (GPI)","Ratio of female adjusted net enrolment rate for upper secondary to the male adjusted net enrolment rate for upper secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics
